# BUSCO version is: 4.0.2 
# The lineage dataset is: hypocreales_odb10 (Creation date: 2019-11-20, number of species: 50, number of BUSCOs: 4494)
# Busco id	Status	Sequence	Score	Length
26at5125	Complete	1317_t	7891.7	3799	https://www.orthodb.org/v10?query=26at5125	Dynein heavy chain
30at5125	Complete	4533_t	6749.7	4102	https://www.orthodb.org/v10?query=30at5125	Midasin
49at5125	Complete	7664_t	6432.3	3227	https://www.orthodb.org/v10?query=49at5125	histone acetylase complex subunit
52at5125	Complete	3224_t	5083.5	3135	https://www.orthodb.org/v10?query=52at5125	E3 ubiquitin ligase, domain of unknown function DUF908
78at5125	Complete	3520_t	5263.3	2710	https://www.orthodb.org/v10?query=78at5125	Vacuolar protein sorting-associated protein
87at5125	Complete	6671_t	4250.8	2586	https://www.orthodb.org/v10?query=87at5125	fermentation associated protein
102at5125	Complete	2046_t	4104.7	2267	https://www.orthodb.org/v10?query=102at5125	FMP27, SW domain
133at5125	Complete	2070_t	4435.6	2023	https://www.orthodb.org/v10?query=133at5125	Pre-mRNA processing splicing factor 8
141at5125	Complete	812_t	4283.7	2113	https://www.orthodb.org/v10?query=141at5125	FKBP12-rapamycin binding domain
142at5125	Complete	3540_t	4022.4	2143	https://www.orthodb.org/v10?query=142at5125	WD40-repeat-containing domain
154at5125	Complete	6406_t	3996.2	2450	https://www.orthodb.org/v10?query=154at5125	Serine/threonine-protein kinase Tel1
155at5125	Complete	3350_t	4003.8	2223	https://www.orthodb.org/v10?query=155at5125	Ribosomal protein L19
168at5125	Complete	5985_t	3088.9	1867	https://www.orthodb.org/v10?query=168at5125	Ras GTPase activator
171at5125	Complete	1580_t	4059.3	2049	https://www.orthodb.org/v10?query=171at5125	transcriptional activator leucine zipper
178at5125	Complete	5076_t	3982.0	1982	https://www.orthodb.org/v10?query=178at5125	Acetyl-CoA carboxylase
194at5125	Complete	4260_t	3863.0	2253	https://www.orthodb.org/v10?query=194at5125	Armadillo-type fold protein
200at5125	Complete	5670_t	4116.5	1887	https://www.orthodb.org/v10?query=200at5125	Glutamate synthase
203at5125	Complete	6340_t	3882.6	1890	https://www.orthodb.org/v10?query=203at5125	fatty acid synthase beta subunit dehydratase
215at5125	Complete	192_t	3853.3	1904	https://www.orthodb.org/v10?query=215at5125	DNA polymerase epsilon catalytic subunit
246at5125	Complete	1133_t	3323.1	1852	https://www.orthodb.org/v10?query=246at5125	Signal transduction histidine kinase, dimerisation/phosphoacceptor domain
250at5125	Complete	2411_t	3609.1	1972	https://www.orthodb.org/v10?query=250at5125	myosin type II heavy chain
259at5125	Complete	4163_t	3990.5	1952	https://www.orthodb.org/v10?query=259at5125	pre-mRNA splicing helicase
270at5125	Complete	4148_t	3449.3	1780	https://www.orthodb.org/v10?query=270at5125	E3 ubiquitin-protein ligase ubr1
281at5125	Complete	1677_t	3110.9	1859	https://www.orthodb.org/v10?query=281at5125	phosphatidylinositol-4-phosphate 5-kinase fab1
309at5125	Complete	2412_t	3431.1	1945	https://www.orthodb.org/v10?query=309at5125	Phosphatidylinositol 3-/4-kinase, catalytic domain
314at5125	Complete	1352_t	3389.4	1636	https://www.orthodb.org/v10?query=314at5125	Activating signal cointegrator 1 complex subunit 3
322at5125	Complete	1341_t	3632.8	1662	https://www.orthodb.org/v10?query=322at5125	Carbamoyl-phosphate synthase small subunit, N-terminal domain
323at5125	Complete	4194_t	2651.3	1367	https://www.orthodb.org/v10?query=323at5125	Adenylate cyclase
341at5125	Complete	1084_t	3277.4	1854	https://www.orthodb.org/v10?query=341at5125	CCR4-Not complex component, Not1
343at5125	Complete	6156_t	3338.2	1715	https://www.orthodb.org/v10?query=343at5125	proteasome activator subunit 4
351at5125	Complete	4723_t	3303.9	1778	https://www.orthodb.org/v10?query=351at5125	related to rat omega-conotoxin-sensitive calcium channel alpha-1 subunit rbB-I
353at5125	Complete	8056_t	3054.1	1658	https://www.orthodb.org/v10?query=353at5125	DHR-1 domain
380at5125	Complete	4112_t	3166.0	1694	https://www.orthodb.org/v10?query=380at5125	phosphatidylinositol 3-kinase 3
390at5125	Complete	2350_t	2522.7	1661	https://www.orthodb.org/v10?query=390at5125	Polyketide synthase
407at5125	Complete	6341_t	3415.2	1666	https://www.orthodb.org/v10?query=407at5125	Fatty acid synthase subunit alpha
420at5125	Complete	3750_t	3237.3	1726	https://www.orthodb.org/v10?query=420at5125	Calcium channel subunit Cch1
429at5125	Complete	202_t	2760.8	1579	https://www.orthodb.org/v10?query=429at5125	anaphase-promoting complex subunit 1
434at5125	Complete	5326_t	3187.1	1570	https://www.orthodb.org/v10?query=434at5125	class V chitin synthase
